year,date_min,area_m2_min,date_closest,area_m2_closest
1985,1985-08-31,0,1985-08-31,0
1986,1986-09-03,9000,1986-09-03,9000
1987,1987-09-22,0,1987-09-22,0
1988,1988-08-07,0,1988-10-10,4500
1989,1989-08-26,0,1989-10-13,5400
1990,1990-08-29,0,1990-09-30,2700
1991,1991-08-16,0,1991-10-03,1800
1992,1992-08-02,0,1992-10-05,0
1993,1993-09-22,21600,1993-09-22,21600
1994,1994-08-24,0,1994-09-25,0
1995,1995-09-12,9000,1995-09-12,9000
1996,1996-08-13,0,1996-09-30,15300
1997,1997-09-01,0,1997-10-03,9000
1999,1999-09-07,0,1999-10-25,1800
2000,2000-08-08,0,2000-08-08,0
2001,2001-08-11,0,2001-09-28,900
2002,2002-08-14,0,2002-09-15,0
2003,2003-08-01,0,2003-10-04,2700
2004,2004-08-03,4500,2004-10-06,8100
2005,2005-10-25,91800,2005-10-25,91800
2006,2006-08-09,5400,2006-08-09,5400
2007,2007-08-28,0,2007-08-28,0
2008,2008-09-15,0,2008-09-15,0
2009,2009-08-17,5400,2009-08-17,5400
2010,2010-08-20,0,2010-09-21,0
2011,2011-09-24,9000,2011-09-24,9000
