year,date_min,area_m2_min,date_closest,area_m2_closest
1985,1985-08-31,58500,1985-09-16,137700
1986,1986-09-03,84600,1986-10-05,139500
1987,1987-09-22,20700,1987-09-22,20700
1988,1988-08-23,12600,1988-10-10,27900
1989,1989-10-13,9000,1989-10-13,9000
1990,1990-09-30,0,1990-09-30,0
1991,1991-10-03,8100,1991-10-03,8100
1992,1992-10-05,0,1992-10-05,0
1993,1993-08-05,128700,1993-09-22,139500
1994,1994-09-25,21600,1994-10-11,139500
1995,1995-09-21,70200,1995-09-12,72000
1996,1996-08-29,47700,1996-08-29,47700
1997,1997-09-17,54900,1997-09-17,54900
1999,1999-10-25,33300,1999-10-25,33300
2000,2000-08-24,24300,2000-08-24,24300
2001,2001-09-28,0,2001-09-28,0
2002,2002-08-14,1800,2002-09-15,2700
2003,2003-09-18,0,2003-10-04,0
2004,2004-10-06,23400,2004-10-06,23400
2005,2005-08-06,135000,2005-08-06,135000
2006,2006-08-09,69300,2006-10-12,139500
2007,2007-08-28,25200,2007-08-28,25200
2008,2008-09-15,25200,2008-09-15,25200
2009,2009-08-17,62100,2009-08-17,62100
2010,2010-09-21,10800,2010-09-21,10800
2011,2011-09-24,68400,2011-09-24,68400
