year,date_min,area_m2_min,date_closest,area_m2_closest
1985,1985-08-31,42300,1985-08-31,42300
1986,1986-08-02,43200,1986-10-05,43200
1987,1987-09-22,20700,1987-09-22,20700
1988,1988-08-23,11700,1988-10-10,27000
1989,1989-10-13,9000,1989-10-13,9000
1990,1990-08-29,3600,1990-09-14,4500
1991,1991-10-03,8100,1991-10-03,8100
1992,1992-08-18,0,1992-10-05,0
1993,1993-10-24,43200,1993-10-24,43200
1994,1994-09-25,20700,1994-10-11,43200
1995,1995-09-21,41400,1995-11-15,41400
1996,1996-08-29,41400,1996-08-29,41400
1997,1997-08-16,42300,1997-09-17,42300
1999,1999-10-25,31500,1999-10-25,31500
2000,2000-08-24,23400,2000-08-24,23400
2001,2001-09-28,0,2001-09-28,0
2002,2002-08-14,900,2002-09-15,2700
2003,2003-09-18,0,2003-10-04,0
2004,2004-10-06,19800,2004-10-06,19800
2005,2005-08-06,43200,2005-08-06,43200
2006,2006-08-09,43200,2006-10-12,43200
2007,2007-08-28,25200,2007-08-28,25200
2008,2008-09-15,21600,2008-09-15,21600
2009,2009-08-01,43200,2009-08-17,43200
2010,2010-09-21,10800,2010-09-21,10800
2011,2011-09-24,36900,2011-09-24,36900
