"year","date_min","area_m2_min","sensor"
1985,"1985-08-31",0,"ls5"
1986,"1986-09-03",9000,"ls5"
1987,"1987-09-22",0,"ls5"
1988,"1988-08-07",0,"ls5"
1989,"1989-08-26",0,"ls5"
1990,"1990-08-29",0,"ls5"
1991,"1991-08-16",0,"ls5"
1992,"1992-08-02",0,"ls5"
1993,"1993-09-22",19800,"ls5"
1994,"1994-08-24",0,"ls5"
1995,"1995-09-12",9900,"ls5"
1996,"1996-08-13",0,"ls5"
1997,"1997-09-01",0,"ls5"
1999,"1999-09-07",0,"ls5"
2000,"2000-08-08",0,"ls5"
2001,"2001-08-11",0,"ls5"
2002,"2002-08-14",0,"ls5"
2003,"2003-08-01",0,"ls5"
2004,"2004-08-03",4500,"ls5"
2005,"2005-10-25",60300,"ls5"
2006,"2006-08-09",6300,"ls5"
2007,"2007-08-28",0,"ls5"
2008,"2008-09-15",0,"ls5"
2009,"2009-08-17",6300,"ls5"
2010,"2010-08-20",0,"ls5"
2011,"2011-09-24",9000,"ls5"
2013,"2013-08-28",0,"ls8"
2014,"",0,"ls8"
2015,"",0,"ls8"
2016,"2016-08-04",0,"ls8"
2017,"2017-09-08",0,"ls8"
2018,"2018-08-10",0,"ls8"
2019,"2019-10-16",9000,"ls8"
2020,"2020-09-16",0,"ls8"
2021,"2021-09-03",0,"ls8"
2022,"2022-09-06",0,"ls8"
2023,"2023-09-09",1800,"ls8"
2024,"2024-08-26",0,"ls8"
