"year","date_min","area_m2_min","sensor"
1985,"1985-08-31",58500,"ls5"
1986,"1986-09-03",84600,"ls5"
1987,"1987-09-22",20700,"ls5"
1988,"1988-08-23",12600,"ls5"
1989,"1989-10-13",9000,"ls5"
1990,"1990-09-30",0,"ls5"
1991,"1991-10-03",8100,"ls5"
1992,"1992-10-05",0,"ls5"
1993,"1993-08-05",128700,"ls5"
1994,"1994-09-25",21600,"ls5"
1995,"1995-09-21",70200,"ls5"
1996,"1996-08-29",47700,"ls5"
1997,"1997-09-17",54900,"ls5"
1999,"1999-10-25",33300,"ls5"
2000,"2000-08-24",24300,"ls5"
2001,"2001-09-28",0,"ls5"
2002,"2002-08-14",1800,"ls5"
2003,"2003-09-18",0,"ls5"
2004,"2004-10-06",23400,"ls5"
2005,"2005-08-06",135000,"ls5"
2006,"2006-08-09",69300,"ls5"
2007,"2007-08-28",25200,"ls5"
2008,"2008-09-15",25200,"ls5"
2009,"2009-08-17",62100,"ls5"
2010,"2010-09-21",10800,"ls5"
2011,"2011-09-24",68400,"ls5"
2014,"2014-09-16",0,"ls8"
2015,"",0,"ls8"
2016,"",0,"ls8"
2017,"2017-09-08",47700,"ls8"
2018,"2018-08-26",0,"ls8"
2019,"2019-10-16",61200,"ls8"
2020,"2020-09-16",19800,"ls8"
2021,"2021-09-03",0,"ls8"
2022,"2022-09-06",0,"ls8"
2023,"2023-09-25",62100,"ls8"
2024,"2024-10-13",30600,"ls8"
2019,"2019-10-15",58000,"s2"
2020,"2020-09-14",2400,"s2"
2021,"2021-08-10",0,"s2"
2022,"2022-08-28",0,"s2"
2023,"2023-09-29",44400,"s2"
2024,"2024-10-13",16400,"s2"
