"year","date_min","area_m2_min","sensor"
1985,"1985-08-31",42300,"ls5"
1986,"1986-08-02",43200,"ls5"
1987,"1987-09-22",20700,"ls5"
1988,"1988-08-23",11700,"ls5"
1989,"1989-10-13",9000,"ls5"
1990,"1990-08-29",3600,"ls5"
1991,"1991-10-03",8100,"ls5"
1992,"1992-08-18",0,"ls5"
1993,"1993-10-24",43200,"ls5"
1994,"1994-09-25",20700,"ls5"
1995,"1995-09-21",41400,"ls5"
1996,"1996-08-29",41400,"ls5"
1997,"1997-08-16",42300,"ls5"
1999,"1999-10-25",31500,"ls5"
2000,"2000-08-24",23400,"ls5"
2001,"2001-09-28",0,"ls5"
2002,"2002-08-14",900,"ls5"
2003,"2003-09-18",0,"ls5"
2004,"2004-10-06",19800,"ls5"
2005,"2005-08-06",43200,"ls5"
2006,"2006-08-09",43200,"ls5"
2007,"2007-08-28",25200,"ls5"
2008,"2008-09-15",21600,"ls5"
2009,"2009-08-01",43200,"ls5"
2010,"2010-09-21",10800,"ls5"
2011,"2011-09-24",36900,"ls5"
2014,"2014-09-16",0,"ls8"
2015,"",0,"ls8"
2016,"",0,"ls8"
2017,"2017-09-08",38700,"ls8"
2018,"2018-08-26",0,"ls8"
2019,"2019-10-16",42300,"ls8"
2020,"2020-09-16",19800,"ls8"
2021,"2021-09-03",0,"ls8"
2022,"2022-09-06",0,"ls8"
2023,"2023-09-25",42300,"ls8"
2024,"2024-10-13",28800,"ls8"
2019,"2019-10-15",40400,"s2"
2020,"2020-09-14",2400,"s2"
2021,"2021-08-10",0,"s2"
2022,"2022-08-28",0,"s2"
2023,"2023-09-29",34800,"s2"
2024,"2024-10-13",14000,"s2"
